Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,assessment_id,internal_taxon_id,internal_taxon_name
1.2,,7.2.1,,,,,Minority (<50%),Negligible declines,,Ongoing,,223764163,55645,Hyla sarda
1.2,,7.2.5,,,,,Minority (<50%),Negligible declines,,Ongoing,,223764163,55645,Hyla sarda
1.1|1.2,,2.1.2,,,,,Minority (<50%),Negligible declines,,Ongoing,,223764163,55645,Hyla sarda
2.1,,8.1.1,,,,,Unknown,Unknown,Unidentified Pelophylax sp.,Ongoing,,223764163,55645,Hyla sarda
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,227224480,58055,Pelodytes ibericus
1.2,,7.2.8,,,,,Minority (<50%),Unknown,,Ongoing,,227224480,58055,Pelodytes ibericus
2.1,,8.1.1,,,,,Minority (<50%),Unknown,IAS freshwater fish,Ongoing,,227224480,58055,Pelodytes ibericus
2.1,,8.1.2,,,Procambarus clarkii,,Minority (<50%),Unknown,,Ongoing,,227224480,58055,Pelodytes ibericus
1.1|1.2,,2.3.3,,,,,Minority (<50%),Unknown,,Ongoing,,227224480,58055,Pelodytes ibericus
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,227224480,58055,Pelodytes ibericus
1.2,,9.3.4,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.2,,7.2.3,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
2.1,,8.1.1,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,2.3.4,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,1.1,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,1.2,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,1.3,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,2.1.3,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
2.3.2|2.1,,8.1.2,,,Aquarana catesbeianus,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,2.1.4,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,11.2,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.2|2.1,,9.1.3,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.1|1.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.2,,6.1,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.2|2.1|2.2,,7.1.1,,,,,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
2.1,,5.1.1,,,,No,Unknown,Unknown,,Ongoing,,227225745,58581,Pelophylax cretensis
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,227231646,58624,Rana italica
1.2,,9.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,227231646,58624,Rana italica
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,227231646,58624,Rana italica
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,227234846,59465,Salamandra corsica
1.2,,9.5.1,,,,,Unknown,Unknown,,Ongoing,,227234846,59465,Salamandra corsica
1.2,,9.5.4,,,,,Unknown,Unknown,,Ongoing,,227234846,59465,Salamandra corsica
1.2,,9.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,227234846,59465,Salamandra corsica
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,227234846,59465,Salamandra corsica
1.2|2.1,,7.1.1,,,,,Minority (<50%),Unknown,,Ongoing,,227234846,59465,Salamandra corsica
1.2,,9.3.4,,,,,,,,Ongoing,,227235526,59468,Salamandrina terdigitata
1.2,,5.3.3,,,,,,,,Ongoing,,227235526,59468,Salamandrina terdigitata
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,,,,Future,,227235526,59468,Salamandrina terdigitata
1.1|1.2,,2.2.1,,,,,,,,Ongoing,,227235526,59468,Salamandrina terdigitata
1.1|1.2,,1.1,,,,,,,,Ongoing,,227235526,59468,Salamandrina terdigitata
1.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,227235866,20455,Speleomantes flavus
1.2,,3.2,,,,,Minority (<50%),Unknown,,Ongoing,,227235866,20455,Speleomantes flavus
1.2,,5.3.3,,,,,Unknown,Unknown,,Ongoing,,227235866,20455,Speleomantes flavus
1.2,,6.1,,,,,Unknown,Unknown,,Ongoing,,227235866,20455,Speleomantes flavus
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,227235866,20455,Speleomantes flavus
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,227235866,20455,Speleomantes flavus
2.1|2.2,,5.1.1,,,,No,Unknown,Unknown,,Ongoing,,227235866,20455,Speleomantes flavus
1.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,227236143,20456,Speleomantes genei
2.1,,5.1.1,,,,No,Unknown,Unknown,,Ongoing,,227236143,20456,Speleomantes genei
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Whole (>90%),Unknown,,Future,,227236143,20456,Speleomantes genei
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,227236143,20456,Speleomantes genei
1.1|1.2,,3.2,,,,,Minority (<50%),Unknown,,Ongoing,,227236143,20456,Speleomantes genei
1.1|1.2,,5.3.3,,,,,Minority (<50%),Unknown,,Ongoing,,227236143,20456,Speleomantes genei
1.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,227236400,20457,Speleomantes imperialis
1.2,,7.1.1,,,,,Unknown,Unknown,,Ongoing,,227236400,20457,Speleomantes imperialis
1.1|1.2,,2.3.2,,,,,Minority (<50%),Unknown,,Ongoing,,227236400,20457,Speleomantes imperialis
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,227236400,20457,Speleomantes imperialis
2.1|2.2,,5.1.1,,,,No,Majority (50-90%),Unknown,,Ongoing,,227236400,20457,Speleomantes imperialis
1.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,227236611,135825,Speleomantes sarrabusensis
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,227236611,135825,Speleomantes sarrabusensis
2.2,,6.1,,,,,Majority (50-90%),Unknown,,Ongoing,,227236611,135825,Speleomantes sarrabusensis
2.1|2.2,,5.1.1,,,,No,Minority (<50%),Unknown,,Ongoing,,227236611,135825,Speleomantes sarrabusensis
1.2,,11.1,,,,,,,,Ongoing,,227237010,20459,Speleomantes supramontis
1.2,,5.3.3,,,,,,,,Ongoing,,227237010,20459,Speleomantes supramontis
1.2,,7.1.1,,,,,,,,Ongoing,,227237010,20459,Speleomantes supramontis
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,227237010,20459,Speleomantes supramontis
1.2|2.2,,6.1,,,,,,,,Ongoing,,227237010,20459,Speleomantes supramontis
2.1|2.2,,5.1.1,,,,No,,,,Ongoing,,227237010,20459,Speleomantes supramontis
1.2,,11.2,,,,,,,,Ongoing,,228179357,979,Alytes dickhilleni
1.2,,7.3,,,,,,,,Ongoing,,228179357,979,Alytes dickhilleni
2.1,,8.1.2,,,Batrachochytrium dendrobatidis,,,,,Ongoing,,228179357,979,Alytes dickhilleni
1.1|1.2,,7.2.7,,,,,,,,Ongoing,,228179357,979,Alytes dickhilleni
1.1|1.2,,2.1.3,,,,,,,,Ongoing,,228179357,979,Alytes dickhilleni
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,228181894,59449,Euproctus montanus
1.2,,7.2.5,,,,,Minority (<50%),Unknown,,Ongoing,,228181894,59449,Euproctus montanus
1.2,,7.2.7,,,,,Minority (<50%),Unknown,,Ongoing,,228181894,59449,Euproctus montanus
2.1,,8.1.1,,,,,Minority (<50%),Unknown,,Ongoing,,228181894,59449,Euproctus montanus
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,228181894,59449,Euproctus montanus
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,228181894,59449,Euproctus montanus
1.1|1.2,,1.3,,,,,Minority (<50%),Unknown,,Ongoing,,228181894,59449,Euproctus montanus
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
1.2,,7.2.7,,,,,Minority (<50%),Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
2.1,,8.1.2,,,Procambarus clarkii,,Minority (<50%),Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
2.1,,8.1.2,,Feral,Neogale vison,,Unknown,Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,228185515,79079357,Lissotriton maltzani
1.1|1.2,,2.3.3,,,,,Minority (<50%),Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,228185515,79079357,Lissotriton maltzani
2.1|2.2,,5.1.1,,,,No,Minority (<50%),Negligible declines,,Ongoing,,228185515,79079357,Lissotriton maltzani
1.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,228186236,61918,Lyciasalamandra helverseni
1.2,,11.2,,,,,Unknown,Unknown,,Ongoing,,228186236,61918,Lyciasalamandra helverseni
1.2,,7.1.1,,,,,Minority (<50%),Unknown,,Ongoing,,228186236,61918,Lyciasalamandra helverseni
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,228186236,61918,Lyciasalamandra helverseni
1.2,,2.3.2,,,,,Unknown,Unknown,,Ongoing,,228186236,61918,Lyciasalamandra helverseni
1.2,,7.2.5,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2,,9.3.4,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2,,5.3.3,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2,,7.1.1,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2,,7.2.7,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2,,9.1.3,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.1|1.2,,2.3.2,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.1|1.2,,1.1,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.1|1.2,,1.3,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2|2.2,,11.1,,,,,Unknown,Unknown,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.1|1.2,,2.1.2,,,,,,,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2|2.1,,11.2,,,,,Unknown,Unknown,,Ongoing,,229002159,58567,Pelophylax cerigensis
1.2,,9.3.3,,,,,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
1.2,,9.1.1,,,,,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
2.1,,5.1.1,,,,No,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
1.1|1.2,,1.1,,,,,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
1.1|1.2,,1.3,,,,,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
1.1|1.2,,7.2.3,,,,,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
1.2|2.1,,11.2,,,,,,,,Ongoing,,229002620,58892549,Pelophylax cypriensis
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,229006043,59476,Lissotriton italicus
1.2,,7.2.4,,,,,Minority (<50%),Unknown,,Ongoing,,229006043,59476,Lissotriton italicus
2.1,,8.1.1,,,,,Unknown,Unknown,IAS predatory fishes.,Ongoing,,229006043,59476,Lissotriton italicus
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,"Slow, Significant Declines",,Future,,229006043,59476,Lissotriton italicus
1.1|1.2,,2.3.3,,,,,Minority (<50%),Unknown,,Ongoing,,229006043,59476,Lissotriton italicus
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,229006043,59476,Lissotriton italicus
