GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,assessment_id,internal_taxon_id,internal_taxon_name
5.7,,Yes,Resident,Suitable,227234846,59465,Salamandra corsica
5.8,,,Resident,Marginal,227234846,59465,Salamandra corsica
1.4,,Yes,Resident,Suitable,227234846,59465,Salamandra corsica
15.2,,No,Resident,Suitable,227235526,59468,Salamandrina terdigitata
5.1,,Yes,Resident,Suitable,227235526,59468,Salamandrina terdigitata
5.7,,Yes,Resident,Suitable,227235526,59468,Salamandrina terdigitata
5.8,,Yes,Resident,Suitable,227235526,59468,Salamandrina terdigitata
1.4,,Yes,Resident,Suitable,227235526,59468,Salamandrina terdigitata
1.4,,Yes,Resident,Suitable,227235866,20455,Speleomantes flavus
6,,Yes,Resident,Suitable,227235866,20455,Speleomantes flavus
7.1,,Yes,Resident,Suitable,227235866,20455,Speleomantes flavus
7.2,,Yes,Resident,Suitable,227235866,20455,Speleomantes flavus
1.4,,Yes,Resident,Suitable,227236143,20456,Speleomantes genei
6,,Yes,Resident,Suitable,227236143,20456,Speleomantes genei
7.1,,Yes,Resident,Suitable,227236143,20456,Speleomantes genei
7.2,,Yes,Resident,Suitable,227236143,20456,Speleomantes genei
1.4,,Yes,Resident,Suitable,227236400,20457,Speleomantes imperialis
6,,Yes,Resident,Suitable,227236400,20457,Speleomantes imperialis
7.1,,Yes,Resident,Suitable,227236400,20457,Speleomantes imperialis
7.2,,Yes,Resident,Suitable,227236400,20457,Speleomantes imperialis
1.4,,Yes,Resident,Suitable,227236611,135825,Speleomantes sarrabusensis
6,,Yes,Resident,Suitable,227236611,135825,Speleomantes sarrabusensis
1.4,,Yes,Resident,Suitable,227237010,20459,Speleomantes supramontis
6,,Yes,Resident,Suitable,227237010,20459,Speleomantes supramontis
7.1,,Yes,Resident,Suitable,227237010,20459,Speleomantes supramontis
7.2,,Yes,Resident,Suitable,227237010,20459,Speleomantes supramontis
14.2,,,Resident,Marginal,228179357,979,Alytes dickhilleni
5.7,,,Resident,Marginal,228179357,979,Alytes dickhilleni
5.8,,,Resident,Marginal,228179357,979,Alytes dickhilleni
15.2,,Yes,Resident,Suitable,228179357,979,Alytes dickhilleni
15.3,,Yes,Resident,Suitable,228179357,979,Alytes dickhilleni
1.4,,Yes,Resident,Suitable,228179357,979,Alytes dickhilleni
3.4,,Yes,Resident,Suitable,228181894,59449,Euproctus montanus
5.1,,Yes,Resident,Suitable,228181894,59449,Euproctus montanus
5.7,,Yes,Resident,Suitable,228181894,59449,Euproctus montanus
5.8,,Yes,Resident,Suitable,228181894,59449,Euproctus montanus
1.4,,Yes,Resident,Suitable,228181894,59449,Euproctus montanus
14.1,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
14.2,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
5.6,,,Resident,Marginal,228185515,79079357,Lissotriton maltzani
14.3,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
14.4,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
5.5,,,Resident,Marginal,228185515,79079357,Lissotriton maltzani
5.8,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
15.1,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
15.2,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
1.4,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
16,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
3.8,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
5.7,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
5.1,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
5.2,,,Resident,Marginal,228185515,79079357,Lissotriton maltzani
5.4,,,Resident,Suitable,228185515,79079357,Lissotriton maltzani
3.8,,Yes,Resident,Suitable,228186236,61918,Lyciasalamandra helverseni
6,,Yes,Resident,Suitable,228186236,61918,Lyciasalamandra helverseni
1.4,,Yes,Resident,Suitable,228186236,61918,Lyciasalamandra helverseni
5.6,,,Resident,Marginal,229002159,58567,Pelophylax cerigensis
5.8,,,Resident,Marginal,229002159,58567,Pelophylax cerigensis
5.1,,Yes,Resident,Suitable,229002159,58567,Pelophylax cerigensis
5.2,,Yes,Resident,Suitable,229002159,58567,Pelophylax cerigensis
5.5,,Yes,Resident,Suitable,229002159,58567,Pelophylax cerigensis
5.7,,Yes,Resident,Suitable,229002159,58567,Pelophylax cerigensis
15.1,,,Resident,Unknown,229002159,58567,Pelophylax cerigensis
15.2,,Yes,Resident,Suitable,229002159,58567,Pelophylax cerigensis
15.9,,,Resident,Marginal,229002159,58567,Pelophylax cerigensis
5.4,,Yes,Resident,Suitable,229002159,58567,Pelophylax cerigensis
3.5,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
15.1,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
15.2,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
15.3,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
15.9,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
3.4,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
5.8,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
4.4,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
5.1,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
5.2,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
1.4,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
5.4,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
5.7,,,Resident,Suitable,229002620,58892549,Pelophylax cypriensis
15.1,,,Resident,Suitable,229006043,59476,Lissotriton italicus
14.1,,,Resident,Marginal,229006043,59476,Lissotriton italicus
14.2,,,Resident,Marginal,229006043,59476,Lissotriton italicus
15.2,,,Resident,Suitable,229006043,59476,Lissotriton italicus
15.9,,,Resident,Suitable,229006043,59476,Lissotriton italicus
3.4,,,Resident,Marginal,229006043,59476,Lissotriton italicus
3.8,,,Resident,Suitable,229006043,59476,Lissotriton italicus
5.5,,,Resident,Suitable,229006043,59476,Lissotriton italicus
5.6,,,Resident,Suitable,229006043,59476,Lissotriton italicus
5.7,,,Resident,Suitable,229006043,59476,Lissotriton italicus
1.4,,,Resident,Suitable,229006043,59476,Lissotriton italicus
5.8,,,Resident,Suitable,229006043,59476,Lissotriton italicus
