GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,assessment_id,internal_taxon_id,internal_taxon_name
5.8,,,,Suitable,200717774,58548,Rana arvalis
5.1,,,,Suitable,200717774,58548,Rana arvalis
5.6,,,,Suitable,200717774,58548,Rana arvalis
16,,,,Marginal,200717774,58548,Rana arvalis
3.1,,,,Marginal,200717774,58548,Rana arvalis
5.9,,,,Marginal,200717774,58548,Rana arvalis
1.1,,,,Suitable,200717774,58548,Rana arvalis
4.4,,,,Suitable,200717774,58548,Rana arvalis
15.7,,,,Suitable,200717774,58548,Rana arvalis
15.8,,,,Suitable,200717774,58548,Rana arvalis
15.2,,No,Resident,Suitable,200718410,58584,Rana dalmatina
15.9,,No,Resident,Suitable,200718410,58584,Rana dalmatina
4.4,,,Resident,Marginal,200718410,58584,Rana dalmatina
5.4,,Yes,Resident,Suitable,200718410,58584,Rana dalmatina
5.7,,Yes,Resident,Suitable,200718410,58584,Rana dalmatina
5.8,,No,Resident,Suitable,200718410,58584,Rana dalmatina
1.4,,Yes,Resident,Suitable,200718410,58584,Rana dalmatina
15.1,,,Resident,Suitable,200721782,173101508,Rana temporaria
14.1,,,Resident,Suitable,200721782,173101508,Rana temporaria
3.1,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.9,,,Resident,Marginal,200721782,173101508,Rana temporaria
5.8,,,Resident,Suitable,200721782,173101508,Rana temporaria
4.2,,,Resident,Marginal,200721782,173101508,Rana temporaria
14.2,,,Resident,Suitable,200721782,173101508,Rana temporaria
14.3,,,Resident,Marginal,200721782,173101508,Rana temporaria
14.4,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.5,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.2,,,Resident,Suitable,200721782,173101508,Rana temporaria
1.4,,,Resident,Suitable,200721782,173101508,Rana temporaria
16,,,Resident,Marginal,200721782,173101508,Rana temporaria
1.1,,,Resident,Suitable,200721782,173101508,Rana temporaria
14.5,,,Resident,Suitable,200721782,173101508,Rana temporaria
3.4,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.10,,,Resident,Marginal,200721782,173101508,Rana temporaria
3.3,,,Resident,Suitable,200721782,173101508,Rana temporaria
15.2,,,Resident,Suitable,200721782,173101508,Rana temporaria
15.3,,,Resident,Suitable,200721782,173101508,Rana temporaria
15.5,,,Resident,Marginal,200721782,173101508,Rana temporaria
1.2,,,Resident,Suitable,200721782,173101508,Rana temporaria
15.6,,,Resident,Marginal,200721782,173101508,Rana temporaria
4.1,,,Resident,Marginal,200721782,173101508,Rana temporaria
4.4,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.4,,,Resident,Suitable,200721782,173101508,Rana temporaria
15.8,,,Resident,Marginal,200721782,173101508,Rana temporaria
5.1,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.13,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.7,,,Resident,Suitable,200721782,173101508,Rana temporaria
5.6,,,Resident,Suitable,200721782,173101508,Rana temporaria
14.2,,,,Suitable,200741141,59463,Pleurodeles waltl
15.2,,,,Suitable,200741141,59463,Pleurodeles waltl
3.8,,,,Suitable,200741141,59463,Pleurodeles waltl
5.1,,,,Suitable,200741141,59463,Pleurodeles waltl
5.2,,,,Suitable,200741141,59463,Pleurodeles waltl
5.5,,,,Suitable,200741141,59463,Pleurodeles waltl
5.6,,,,Suitable,200741141,59463,Pleurodeles waltl
5.7,,,,Suitable,200741141,59463,Pleurodeles waltl
5.8,,,,Suitable,200741141,59463,Pleurodeles waltl
5.1,,,,Suitable,200741882,59464,Salamandra algira
1.4,,,,Suitable,200741882,59464,Salamandra algira
7.1,,,,Suitable,200741882,59464,Salamandra algira
15.9,,No,Resident,Suitable,200745594,88103927,Triturus ivanbureschi
5.7,,Yes,Resident,Suitable,200745594,88103927,Triturus ivanbureschi
1.4,,Yes,Resident,Suitable,200745594,88103927,Triturus ivanbureschi
4.4,,Yes,Resident,Suitable,200745594,88103927,Triturus ivanbureschi
14.4,,,Resident,Marginal,200746759,211146190,Triturus karelinii
14.1,,,Resident,Marginal,200746759,211146190,Triturus karelinii
14.2,,,Resident,Marginal,200746759,211146190,Triturus karelinii
14.5,,,Resident,Marginal,200746759,211146190,Triturus karelinii
5.1,,Yes,Resident,Suitable,200746759,211146190,Triturus karelinii
15.2,,No,Resident,Suitable,200746759,211146190,Triturus karelinii
15.5,,,,Unknown,200746759,211146190,Triturus karelinii
15.7,,,,Marginal,200746759,211146190,Triturus karelinii
15.9,,,,Marginal,200746759,211146190,Triturus karelinii
1.4,,No,Resident,Suitable,200746759,211146190,Triturus karelinii
16,,,,Marginal,200746759,211146190,Triturus karelinii
5.4,,,Resident,Marginal,200746759,211146190,Triturus karelinii
5.5,,,Resident,Marginal,200746759,211146190,Triturus karelinii
3.4,,Yes,Resident,Suitable,200746759,211146190,Triturus karelinii
4.4,,,Resident,Marginal,200746759,211146190,Triturus karelinii
5.8,,Yes,Resident,Suitable,200746759,211146190,Triturus karelinii
5.7,,Yes,Resident,Suitable,200746759,211146190,Triturus karelinii
3.8,,,Resident,Marginal,200746759,211146190,Triturus karelinii
5.2,,Yes,Resident,Suitable,200746759,211146190,Triturus karelinii
14.1,,,,Suitable,202016456,54703,Sclerophrys mauritanica
14.2,,,,Suitable,202016456,54703,Sclerophrys mauritanica
14.3,,,,Suitable,202016456,54703,Sclerophrys mauritanica
3.5,,,,Suitable,202016456,54703,Sclerophrys mauritanica
5.1,,,,Suitable,202016456,54703,Sclerophrys mauritanica
5.7,,,,Suitable,202016456,54703,Sclerophrys mauritanica
5.8,,,,Suitable,202016456,54703,Sclerophrys mauritanica
1.5,,,,Suitable,202016456,54703,Sclerophrys mauritanica
3.3,,No,Resident,Suitable,202020399,196236041,Pelobates vespertinus
3.4,,No,Resident,Suitable,202020399,196236041,Pelobates vespertinus
4.4,,No,Resident,Suitable,202020399,196236041,Pelobates vespertinus
5.5,,Yes,Resident,Suitable,202020399,196236041,Pelobates vespertinus
5.8,,Yes,Resident,Suitable,202020399,196236041,Pelobates vespertinus
5.13,,Yes,Resident,Suitable,202020399,196236041,Pelobates vespertinus
1.4,,No,Resident,Suitable,202020399,196236041,Pelobates vespertinus
15.5,,No,Resident,Suitable,202020399,196236041,Pelobates vespertinus
14.6,,,,Suitable,202022250,110466172,Xenopus laevis
14.1,,,,Suitable,202022250,110466172,Xenopus laevis
14.2,,,,Suitable,202022250,110466172,Xenopus laevis
3.4,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
14.3,,,,Suitable,202022250,110466172,Xenopus laevis
4.7,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
5.2,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
14.4,,,,Suitable,202022250,110466172,Xenopus laevis
1.9,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
1.6,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
5.7,,Yes,,Suitable,202022250,110466172,Xenopus laevis
15.9,,,,Suitable,202022250,110466172,Xenopus laevis
5.1,,,Resident,Marginal,202022250,110466172,Xenopus laevis
5.4,,Yes,,Suitable,202022250,110466172,Xenopus laevis
3.8,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
4.5,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
14.5,,,,Suitable,202022250,110466172,Xenopus laevis
15.1,,,,Suitable,202022250,110466172,Xenopus laevis
15.2,,,,Suitable,202022250,110466172,Xenopus laevis
5.5,,Yes,,Suitable,202022250,110466172,Xenopus laevis
3.7,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
15.3,,,,Suitable,202022250,110466172,Xenopus laevis
3.6,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
15.8,,,,Suitable,202022250,110466172,Xenopus laevis
4.4,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
2.2,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
15.5,,,,Suitable,202022250,110466172,Xenopus laevis
5.6,,Yes,,Suitable,202022250,110466172,Xenopus laevis
5.8,,Yes,,Suitable,202022250,110466172,Xenopus laevis
3.5,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
4.6,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
2.1,,Yes,Resident,Suitable,202022250,110466172,Xenopus laevis
5.9,,Yes,,Suitable,202022250,110466172,Xenopus laevis
15.7,,,,Suitable,202022250,110466172,Xenopus laevis
14.1,,,,Suitable,202022987,58565,Aquarana catesbeianus
14.2,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.9,,,,Suitable,202022987,58565,Aquarana catesbeianus
1.4,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.2,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.6,,,,Suitable,202022987,58565,Aquarana catesbeianus
14.4,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.7,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.4,,,,Suitable,202022987,58565,Aquarana catesbeianus
14.5,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.5,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.1,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.2,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.8,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.3,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.5,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.7,,,,Suitable,202022987,58565,Aquarana catesbeianus
3.4,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.1,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.8,,,,Suitable,202022987,58565,Aquarana catesbeianus
5.13,,,,Suitable,202022987,58565,Aquarana catesbeianus
15.9,,,,Suitable,202022987,58565,Aquarana catesbeianus
4.4,,,,Suitable,202022987,58565,Aquarana catesbeianus
14.4,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
14.1,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
14.2,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
14.3,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
5.5,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
3.1,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
5.7,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
4.2,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
14.5,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
15.2,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
15.3,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
5.6,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
5.2,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
15.5,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
4.4,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
5.8,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
5.4,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
1.1,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
4.1,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
15.6,,,Resident,Unknown,202049049,136687833,Salamandrella keyserlingii
3.4,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
5.10,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
5.13,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
15.7,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
1.4,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
16,,,Resident,Marginal,202049049,136687833,Salamandrella keyserlingii
1.2,,,Resident,Suitable,202049049,136687833,Salamandrella keyserlingii
15.8,,,Resident,Unknown,202049049,136687833,Salamandrella keyserlingii
3.4,,Yes,Resident,Suitable,202052085,82494309,Hyla orientalis
4.4,,Yes,Resident,Suitable,202052085,82494309,Hyla orientalis
5.1,,No,Resident,Suitable,202052085,82494309,Hyla orientalis
5.3,,Yes,Resident,Suitable,202052085,82494309,Hyla orientalis
5.4,,Yes,Resident,Suitable,202052085,82494309,Hyla orientalis
5.5,,Yes,Breeding Season,Suitable,202052085,82494309,Hyla orientalis
15.2,,Yes,Breeding Season,Suitable,202052085,82494309,Hyla orientalis
5.7,,Yes,Breeding Season,Suitable,202052085,82494309,Hyla orientalis
4.4,,,Resident,Suitable,202052715,78928690,Hyla savignyi
14.1,,,Resident,Marginal,202052715,78928690,Hyla savignyi
14.4,,,Resident,Marginal,202052715,78928690,Hyla savignyi
15.7,,,Resident,Marginal,202052715,78928690,Hyla savignyi
5.1,,,Resident,Suitable,202052715,78928690,Hyla savignyi
15.8,,,Resident,Marginal,202052715,78928690,Hyla savignyi
8.2,,,Resident,Marginal,202052715,78928690,Hyla savignyi
5.7,,,Resident,Suitable,202052715,78928690,Hyla savignyi
15.9,,,Resident,Suitable,202052715,78928690,Hyla savignyi
5.5,,,Resident,Unknown,202052715,78928690,Hyla savignyi
16,,,Resident,Unknown,202052715,78928690,Hyla savignyi
3.4,,,Resident,Suitable,202052715,78928690,Hyla savignyi
5.6,,,Resident,Unknown,202052715,78928690,Hyla savignyi
5.8,,,Resident,Unknown,202052715,78928690,Hyla savignyi
3.5,,,Resident,Suitable,202052715,78928690,Hyla savignyi
3.8,,,Resident,Suitable,202052715,78928690,Hyla savignyi
4.5,,,Resident,Suitable,202052715,78928690,Hyla savignyi
